tid,team_name,team_city
5282,Phoenix Suns,PHX
5237,Golden State Warriors,GSW
5253,Memphis Grizzlies,MEM
5256,Miami Heat,MIA
5220,Chicago Bulls,CHI
5260,Milwaukee Bucks,MIL
5224,Cleveland Cavaliers,CLE
5279,Philadelphia 76ers,PHI
5299,Utah Jazz,UTA
5227,Dallas Mavericks,DAL
5295,Toronto Raptors,TOR
5211,Brooklyn Nets,BKN
5230,Denver Nuggets,DEN
5214,Boston Celtics,BOS
5263,Minnesota Timberwolves,MIN
5217,Charlotte Hornets,CHA
5246,LA Clippers,LAC
5250,Los Angeles Lakers,LAL
5207,Atlanta Hawks,ATL
5302,Washington Wizards,WAS
5269,New York Knicks,NYK
5266,New Orleans Pelicans,NOP
5286,Portland Trail Blazers,POR
5292,San Antonio Spurs,SAS
5289,Sacramento Kings,SAC
5243,Indiana Pacers,IND
5273,Oklahoma City Thunder,OKC
5240,Houston Rockets,HOU
5233,Detroit Pistons,DET
5276,Orlando Magic,ORL
